  
       XFOIL         Version 6.99
  
 Calculated polar for: airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.333 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3168   0.00651   0.00176  -0.0522   0.8242   0.0539
  -4.500  -0.2605   0.00638   0.00155  -0.0522   0.7945   0.0609
  -4.000  -0.2043   0.00618   0.00136  -0.0522   0.7697   0.0762
  -3.500  -0.1480   0.00602   0.00120  -0.0521   0.7385   0.0955
  -3.000  -0.0916   0.00586   0.00107  -0.0522   0.7099   0.1207
  -2.500  -0.0353   0.00574   0.00096  -0.0522   0.6763   0.1501
  -2.000   0.0212   0.00564   0.00086  -0.0522   0.6455   0.1830
  -1.500   0.0774   0.00552   0.00080  -0.0523   0.6109   0.2288
  -1.000   0.1337   0.00546   0.00077  -0.0523   0.5764   0.2735
  -0.500   0.1900   0.00546   0.00076  -0.0524   0.5399   0.3138
   0.000   0.2464   0.00533   0.00076  -0.0525   0.5180   0.3798
   0.500   0.3025   0.00519   0.00078  -0.0526   0.4920   0.4662
   1.000   0.3581   0.00511   0.00084  -0.0525   0.4600   0.5555
   1.500   0.4142   0.00508   0.00091  -0.0526   0.4380   0.6270
   2.000   0.4702   0.00501   0.00099  -0.0526   0.4147   0.7072
   2.500   0.5248   0.00506   0.00112  -0.0523   0.3778   0.7880
   3.000   0.5784   0.00516   0.00128  -0.0517   0.3406   0.8632
   3.500   0.6301   0.00542   0.00151  -0.0508   0.2944   0.9226
   4.000   0.6807   0.00571   0.00173  -0.0495   0.2570   0.9654
   4.500   0.7361   0.00626   0.00203  -0.0496   0.1975   0.9877
   5.000   0.7992   0.00691   0.00239  -0.0515   0.1413   0.9964
   5.500   0.8663   0.00748   0.00276  -0.0543   0.1066   0.9998
   6.000   0.9141   0.00791   0.00309  -0.0528   0.0852   0.9999
   6.500   0.9622   0.00838   0.00344  -0.0513   0.0663   0.9999
   7.000   1.0113   0.00891   0.00385  -0.0501   0.0489   0.9999
   7.500   1.0613   0.00943   0.00428  -0.0491   0.0370   0.9999
   8.000   1.1128   0.00984   0.00466  -0.0485   0.0331   0.9999
   8.500   1.1623   0.01043   0.00519  -0.0475   0.0257   0.9999
   9.500   1.2634   0.01135   0.00611  -0.0460   0.0213   0.9999
  10.000   1.3113   0.01199   0.00669  -0.0449   0.0180   0.9999
  11.000   1.4028   0.01348   0.00823  -0.0420   0.0119   0.9999
  11.500   1.4486   0.01410   0.00888  -0.0406   0.0118   0.9999
  12.000   1.4929   0.01475   0.00955  -0.0391   0.0117   0.9999
  12.500   1.5355   0.01544   0.01027  -0.0373   0.0116   0.9999
  13.000   1.5742   0.01616   0.01103  -0.0348   0.0115   0.9999
  13.500   1.6080   0.01696   0.01187  -0.0316   0.0113   0.9999
  14.000   1.6399   0.01790   0.01287  -0.0284   0.0110   0.9999
  14.500   1.6700   0.01901   0.01401  -0.0252   0.0105   0.9999
  15.000   1.6951   0.02041   0.01544  -0.0217   0.0095   0.9999
